	Abilities	Height	Local №	National №	Species	Type	Weight	name
71	1. Clear Body2. Liquid OozeRain Dish (hidden ability)	5′03″ (1.6 m)	073 (Red/Blue/Yellow)163 (Gold/Silver/Crystal)067 (Ruby/Sapphire/Emerald)073 (FireRed/LeafGreen)137 (Diamond/Pearl)137 (Platinum)165 (HeartGold/SoulSilver)026 (X/Y — Coastal Kalos)069 (Omega Ruby/Alpha Sapphire)107 (Sun/Moon — Alola dex)130 (U.Sun/U.Moon — Alola dex)	073	Jellyfish Pokémon	Water Poison	121.3 lbs (55.0 kg)	Tentacruel
72	1. Rock Head2. SturdySand Veil (hidden ability)	1′04″ (0.4 m)	074 (Red/Blue/Yellow)034 (Gold/Silver/Crystal)057 (Ruby/Sapphire/Emerald)074 (FireRed/LeafGreen)031 (Diamond/Pearl)031 (Platinum)034 (HeartGold/SoulSilver)009 (X/Y — Mountain Kalos)058 (Omega Ruby/Alpha Sapphire)229 (Sun/Moon — Alola dex)298 (U.Sun/U.Moon — Alola dex)	074	Rock Pokémon	Rock Ground	44.1 lbs (20.0 kg)	Geodude
73	1. Rock Head2. SturdySand Veil (hidden ability)	3′03″ (1.0 m)	075 (Red/Blue/Yellow)035 (Gold/Silver/Crystal)058 (Ruby/Sapphire/Emerald)075 (FireRed/LeafGreen)032 (Diamond/Pearl)032 (Platinum)035 (HeartGold/SoulSilver)010 (X/Y — Mountain Kalos)059 (Omega Ruby/Alpha Sapphire)230 (Sun/Moon — Alola dex)299 (U.Sun/U.Moon — Alola dex)	075	Rock Pokémon	Rock Ground	231.5 lbs (105.0 kg)	Graveler
74	1. Rock Head2. SturdySand Veil (hidden ability)	4′07″ (1.4 m)	076 (Red/Blue/Yellow)036 (Gold/Silver/Crystal)059 (Ruby/Sapphire/Emerald)076 (FireRed/LeafGreen)033 (Diamond/Pearl)033 (Platinum)036 (HeartGold/SoulSilver)011 (X/Y — Mountain Kalos)060 (Omega Ruby/Alpha Sapphire)231 (Sun/Moon — Alola dex)300 (U.Sun/U.Moon — Alola dex)	076	Megaton Pokémon	Rock Ground	661.4 lbs (300.0 kg)	Golem
75	1. Run Away2. Flash FireFlame Body (hidden ability)	3′03″ (1.0 m)	077 (Red/Blue/Yellow)201 (Gold/Silver/Crystal)077 (FireRed/LeafGreen)090 (Diamond/Pearl)090 (Platinum)206 (HeartGold/SoulSilver)	077	Fire Horse Pokémon	Fire	66.1 lbs (30.0 kg)	Ponyta
76	1. Run Away2. Flash FireFlame Body (hidden ability)	5′07″ (1.7 m)	078 (Red/Blue/Yellow)202 (Gold/Silver/Crystal)078 (FireRed/LeafGreen)091 (Diamond/Pearl)091 (Platinum)207 (HeartGold/SoulSilver)	078	Fire Horse Pokémon	Fire	209.4 lbs (95.0 kg)	Rapidash
77	1. Oblivious2. Own TempoRegenerator (hidden ability)	3′11″ (1.2 m)	079 (Red/Blue/Yellow)080 (Gold/Silver/Crystal)079 (FireRed/LeafGreen)080 (HeartGold/SoulSilver)133 (X/Y — Coastal Kalos)037 (Sun/Moon — Alola dex)044 (U.Sun/U.Moon — Alola dex)	079	Dopey Pokémon	Water Psychic	79.4 lbs (36.0 kg)	Slowpoke
78	1. Oblivious2. Own TempoRegenerator (hidden ability)	5′03″ (1.6 m)	080 (Red/Blue/Yellow)081 (Gold/Silver/Crystal)080 (FireRed/LeafGreen)081 (HeartGold/SoulSilver)134 (X/Y — Coastal Kalos)038 (Sun/Moon — Alola dex)045 (U.Sun/U.Moon — Alola dex)	080	Hermit Crab Pokémon	Water Psychic	173.1 lbs (78.5 kg)	Slowbro
79	1. Magnet Pull2. SturdyAnalytic (hidden ability)	1′00″ (0.3 m)	081 (Red/Blue/Yellow)118 (Gold/Silver/Crystal)082 (Ruby/Sapphire/Emerald)081 (FireRed/LeafGreen)178 (Platinum)119 (HeartGold/SoulSilver)048 (Black 2/White 2)069 (X/Y — Mountain Kalos)084 (Omega Ruby/Alpha Sapphire)047 (Sun/Moon — Alola dex)054 (U.Sun/U.Moon — Alola dex)	081	Magnet Pokémon	Electric Steel	13.2 lbs (6.0 kg)	Magnemite
80	1. Magnet Pull2. SturdyAnalytic (hidden ability)	3′03″ (1.0 m)	082 (Red/Blue/Yellow)119 (Gold/Silver/Crystal)083 (Ruby/Sapphire/Emerald)082 (FireRed/LeafGreen)179 (Platinum)120 (HeartGold/SoulSilver)049 (Black 2/White 2)070 (X/Y — Mountain Kalos)085 (Omega Ruby/Alpha Sapphire)048 (Sun/Moon — Alola dex)055 (U.Sun/U.Moon — Alola dex)	082	Magnet Pokémon	Electric Steel	132.3 lbs (60.0 kg)	Magneton
81	1. Keen Eye2. Inner FocusDefiant (hidden ability)	2′07″ (0.8 m)	083 (Red/Blue/Yellow)158 (Gold/Silver/Crystal)083 (FireRed/LeafGreen)160 (HeartGold/SoulSilver)061 (X/Y — Central Kalos)	083	Wild Duck Pokémon	Normal Flying	33.1 lbs (15.0 kg)	Farfetch'd
82	1. Run Away2. Early BirdTangled Feet (hidden ability)	4′07″ (1.4 m)	084 (Red/Blue/Yellow)199 (Gold/Silver/Crystal)092 (Ruby/Sapphire/Emerald)084 (FireRed/LeafGreen)204 (HeartGold/SoulSilver)094 (X/Y — Central Kalos)095 (Omega Ruby/Alpha Sapphire)	084	Twin Bird Pokémon	Normal Flying	86.4 lbs (39.2 kg)	Doduo
83	1. Run Away2. Early BirdTangled Feet (hidden ability)	5′11″ (1.8 m)	085 (Red/Blue/Yellow)200 (Gold/Silver/Crystal)093 (Ruby/Sapphire/Emerald)085 (FireRed/LeafGreen)205 (HeartGold/SoulSilver)095 (X/Y — Central Kalos)096 (Omega Ruby/Alpha Sapphire)	085	Triple Bird Pokémon	Normal Flying	187.8 lbs (85.2 kg)	Dodrio
84	1. Thick Fat2. HydrationIce Body (hidden ability)	3′07″ (1.1 m)	086 (Red/Blue/Yellow)176 (Gold/Silver/Crystal)086 (FireRed/LeafGreen)178 (HeartGold/SoulSilver)265 (Black 2/White 2)115 (U.Sun/U.Moon — Alola dex)	086	Sea Lion Pokémon	Water	198.4 lbs (90.0 kg)	Seel
85	1. Thick Fat2. HydrationIce Body (hidden ability)	5′07″ (1.7 m)	087 (Red/Blue/Yellow)177 (Gold/Silver/Crystal)087 (FireRed/LeafGreen)179 (HeartGold/SoulSilver)266 (Black 2/White 2)116 (U.Sun/U.Moon — Alola dex)	087	Sea Lion Pokémon	Water Ice	264.6 lbs (120.0 kg)	Dewgong
86	1. Stench2. Sticky HoldPoison Touch (hidden ability)	2′11″ (0.9 m)	088 (Red/Blue/Yellow)116 (Gold/Silver/Crystal)106 (Ruby/Sapphire/Emerald)088 (FireRed/LeafGreen)117 (HeartGold/SoulSilver)064 (Black 2/White 2)111 (Omega Ruby/Alpha Sapphire)050 (Sun/Moon — Alola dex)057 (U.Sun/U.Moon — Alola dex)	088	Sludge Pokémon	Poison	66.1 lbs (30.0 kg)	Grimer
87	1. Stench2. Sticky HoldPoison Touch (hidden ability)	3′11″ (1.2 m)	089 (Red/Blue/Yellow)117 (Gold/Silver/Crystal)107 (Ruby/Sapphire/Emerald)089 (FireRed/LeafGreen)118 (HeartGold/SoulSilver)065 (Black 2/White 2)112 (Omega Ruby/Alpha Sapphire)051 (Sun/Moon — Alola dex)058 (U.Sun/U.Moon — Alola dex)	089	Sludge Pokémon	Poison	66.1 lbs (30.0 kg)	Muk
88	1. Shell Armor2. Skill LinkOvercoat (hidden ability)	1′00″ (0.3 m)	090 (Red/Blue/Yellow)169 (Gold/Silver/Crystal)090 (FireRed/LeafGreen)171 (HeartGold/SoulSilver)036 (X/Y — Coastal Kalos)115 (Sun/Moon — Alola dex)138 (U.Sun/U.Moon — Alola dex)	090	Bivalve Pokémon	Water	8.8 lbs (4.0 kg)	Shellder
89	1. Shell Armor2. Skill LinkOvercoat (hidden ability)	4′11″ (1.5 m)	091 (Red/Blue/Yellow)170 (Gold/Silver/Crystal)091 (FireRed/LeafGreen)172 (HeartGold/SoulSilver)037 (X/Y — Coastal Kalos)116 (Sun/Moon — Alola dex)139 (U.Sun/U.Moon — Alola dex)	091	Bivalve Pokémon	Water Ice	292.1 lbs (132.5 kg)	Cloyster
90	1. Levitate	4′03″ (1.3 m)	092 (Red/Blue/Yellow)058 (Gold/Silver/Crystal)092 (FireRed/LeafGreen)069 (Diamond/Pearl)069 (Platinum)058 (HeartGold/SoulSilver)030 (X/Y — Mountain Kalos)061 (Sun/Moon — Alola dex)073 (U.Sun/U.Moon — Alola dex)	092	Gas Pokémon	Ghost Poison	0.2 lbs (0.1 kg)	Gastly
91	1. Levitate	5′03″ (1.6 m)	093 (Red/Blue/Yellow)059 (Gold/Silver/Crystal)093 (FireRed/LeafGreen)070 (Diamond/Pearl)070 (Platinum)059 (HeartGold/SoulSilver)031 (X/Y — Mountain Kalos)062 (Sun/Moon — Alola dex)074 (U.Sun/U.Moon — Alola dex)	093	Gas Pokémon	Ghost Poison	0.2 lbs (0.1 kg)	Haunter
92	1. Cursed Body	4′11″ (1.5 m)	094 (Red/Blue/Yellow)060 (Gold/Silver/Crystal)094 (FireRed/LeafGreen)071 (Diamond/Pearl)071 (Platinum)060 (HeartGold/SoulSilver)032 (X/Y — Mountain Kalos)063 (Sun/Moon — Alola dex)075 (U.Sun/U.Moon — Alola dex)	094	Shadow Pokémon	Ghost Poison	89.3 lbs (40.5 kg)	Gengar
93	1. Rock Head2. SturdyWeak Armor (hidden ability)	28′10″ (8.8 m)	095 (Red/Blue/Yellow)062 (Gold/Silver/Crystal)095 (FireRed/LeafGreen)034 (Diamond/Pearl)034 (Platinum)062 (HeartGold/SoulSilver)071 (Black 2/White 2)053 (X/Y — Coastal Kalos)	095	Rock Snake Pokémon	Rock Ground	463.0 lbs (210.0 kg)	Onix
94	1. Insomnia2. ForewarnInner Focus (hidden ability)	3′03″ (1.0 m)	096 (Red/Blue/Yellow)087 (Gold/Silver/Crystal)096 (FireRed/LeafGreen)087 (HeartGold/SoulSilver)054 (Sun/Moon — Alola dex)066 (U.Sun/U.Moon — Alola dex)	096	Hypnosis Pokémon	Psychic	71.4 lbs (32.4 kg)	Drowzee
95	1. Insomnia2. ForewarnInner Focus (hidden ability)	5′03″ (1.6 m)	097 (Red/Blue/Yellow)088 (Gold/Silver/Crystal)097 (FireRed/LeafGreen)088 (HeartGold/SoulSilver)055 (Sun/Moon — Alola dex)067 (U.Sun/U.Moon — Alola dex)	097	Hypnosis Pokémon	Psychic	166.7 lbs (75.6 kg)	Hypno
96	1. Hyper Cutter2. Shell ArmorSheer Force (hidden ability)	1′04″ (0.4 m)	098 (Red/Blue/Yellow)164 (Gold/Silver/Crystal)098 (FireRed/LeafGreen)166 (HeartGold/SoulSilver)	098	River Crab Pokémon	Water	14.3 lbs (6.5 kg)	Krabby
97	1. Hyper Cutter2. Shell ArmorSheer Force (hidden ability)	4′03″ (1.3 m)	099 (Red/Blue/Yellow)165 (Gold/Silver/Crystal)099 (FireRed/LeafGreen)167 (HeartGold/SoulSilver)	099	Pincer Pokémon	Water	132.3 lbs (60.0 kg)	Kingler
98	1. Soundproof2. StaticAftermath (hidden ability)	1′08″ (0.5 m)	100 (Red/Blue/Yellow)120 (Gold/Silver/Crystal)084 (Ruby/Sapphire/Emerald)100 (FireRed/LeafGreen)121 (HeartGold/SoulSilver)072 (X/Y — Mountain Kalos)087 (Omega Ruby/Alpha Sapphire)	100	Ball Pokémon	Electric	22.9 lbs (10.4 kg)	Voltorb
99	1. Soundproof2. StaticAftermath (hidden ability)	3′11″ (1.2 m)	101 (Red/Blue/Yellow)121 (Gold/Silver/Crystal)085 (Ruby/Sapphire/Emerald)101 (FireRed/LeafGreen)122 (HeartGold/SoulSilver)073 (X/Y — Mountain Kalos)088 (Omega Ruby/Alpha Sapphire)	101	Ball Pokémon	Electric	146.8 lbs (66.6 kg)	Electrode
100	1. ChlorophyllHarvest (hidden ability)	1′04″ (0.4 m)	102 (Red/Blue/Yellow)104 (Gold/Silver/Crystal)102 (FireRed/LeafGreen)105 (HeartGold/SoulSilver)136 (X/Y — Coastal Kalos)269 (Sun/Moon — Alola dex)355 (U.Sun/U.Moon — Alola dex)	102	Egg Pokémon	Grass Psychic	5.5 lbs (2.5 kg)	Exeggcute
101	1. ChlorophyllHarvest (hidden ability)	6′07″ (2.0 m)	103 (Red/Blue/Yellow)105 (Gold/Silver/Crystal)103 (FireRed/LeafGreen)106 (HeartGold/SoulSilver)137 (X/Y — Coastal Kalos)270 (Sun/Moon — Alola dex)356 (U.Sun/U.Moon — Alola dex)	103	Coconut Pokémon	Grass Psychic	264.6 lbs (120.0 kg)	Exeggutor
102	1. Rock Head2. Lightning RodBattle Armor (hidden ability)	1′04″ (0.4 m)	104 (Red/Blue/Yellow)203 (Gold/Silver/Crystal)104 (FireRed/LeafGreen)208 (HeartGold/SoulSilver)060 (X/Y — Coastal Kalos)163 (Sun/Moon — Alola dex)197 (U.Sun/U.Moon — Alola dex)	104	Lonely Pokémon	Ground	14.3 lbs (6.5 kg)	Cubone
103	1. Rock Head2. Lightning RodBattle Armor (hidden ability)	3′03″ (1.0 m)	105 (Red/Blue/Yellow)204 (Gold/Silver/Crystal)105 (FireRed/LeafGreen)209 (HeartGold/SoulSilver)061 (X/Y — Coastal Kalos)164 (Sun/Moon — Alola dex)198 (U.Sun/U.Moon — Alola dex)	105	Bone Keeper Pokémon	Ground	99.2 lbs (45.0 kg)	Marowak
104	1. Limber2. RecklessUnburden (hidden ability)	4′11″ (1.5 m)	106 (Red/Blue/Yellow)144 (Gold/Silver/Crystal)106 (FireRed/LeafGreen)146 (HeartGold/SoulSilver)	106	Kicking Pokémon	Fighting	109.8 lbs (49.8 kg)	Hitmonlee
105	1. Keen Eye2. Iron FistInner Focus (hidden ability)	4′07″ (1.4 m)	107 (Red/Blue/Yellow)145 (Gold/Silver/Crystal)107 (FireRed/LeafGreen)147 (HeartGold/SoulSilver)	107	Punching Pokémon	Fighting	110.7 lbs (50.2 kg)	Hitmonchan
106	1. Own Tempo2. ObliviousCloud Nine (hidden ability)	3′11″ (1.2 m)	108 (Red/Blue/Yellow)178 (Gold/Silver/Crystal)108 (FireRed/LeafGreen)161 (Platinum)180 (HeartGold/SoulSilver)284 (Black 2/White 2)134 (X/Y — Mountain Kalos)375 (U.Sun/U.Moon — Alola dex)	108	Licking Pokémon	Normal	144.4 lbs (65.5 kg)	Lickitung
107	1. Levitate	2′00″ (0.6 m)	109 (Red/Blue/Yellow)114 (Gold/Silver/Crystal)108 (Ruby/Sapphire/Emerald)109 (FireRed/LeafGreen)115 (HeartGold/SoulSilver)046 (Black 2/White 2)113 (Omega Ruby/Alpha Sapphire)	109	Poison Gas Pokémon	Poison	2.2 lbs (1.0 kg)	Koffing
108	1. Levitate	3′11″ (1.2 m)	110 (Red/Blue/Yellow)115 (Gold/Silver/Crystal)109 (Ruby/Sapphire/Emerald)110 (FireRed/LeafGreen)116 (HeartGold/SoulSilver)047 (Black 2/White 2)114 (Omega Ruby/Alpha Sapphire)	110	Poison Gas Pokémon	Poison	20.9 lbs (9.5 kg)	Weezing
109	1. Lightning Rod2. Rock HeadReckless (hidden ability)	3′03″ (1.0 m)	111 (Red/Blue/Yellow)206 (Gold/Silver/Crystal)169 (Ruby/Sapphire/Emerald)111 (FireRed/LeafGreen)186 (Platinum)211 (HeartGold/SoulSilver)050 (X/Y — Coastal Kalos)176 (Omega Ruby/Alpha Sapphire)	111	Spikes Pokémon	Ground Rock	253.5 lbs (115.0 kg)	Rhyhorn
110	1. Lightning Rod2. Rock HeadReckless (hidden ability)	6′03″ (1.9 m)	112 (Red/Blue/Yellow)207 (Gold/Silver/Crystal)170 (Ruby/Sapphire/Emerald)112 (FireRed/LeafGreen)187 (Platinum)212 (HeartGold/SoulSilver)051 (X/Y — Coastal Kalos)177 (Omega Ruby/Alpha Sapphire)	112	Drill Pokémon	Ground Rock	264.6 lbs (120.0 kg)	Rhydon
111	1. Natural Cure2. Serene GraceHealer (hidden ability)	3′07″ (1.1 m)	113 (Red/Blue/Yellow)217 (Gold/Silver/Crystal)113 (FireRed/LeafGreen)097 (Diamond/Pearl)097 (Platinum)222 (HeartGold/SoulSilver)033 (Sun/Moon — Alola dex)040 (U.Sun/U.Moon — Alola dex)	113	Egg Pokémon	Normal	76.3 lbs (34.6 kg)	Chansey
112	1. Chlorophyll2. Leaf GuardRegenerator (hidden ability)	3′03″ (1.0 m)	114 (Red/Blue/Yellow)179 (Gold/Silver/Crystal)114 (FireRed/LeafGreen)181 (Platinum)182 (HeartGold/SoulSilver)217 (Black 2/White 2)	114	Vine Pokémon	Grass	77.2 lbs (35.0 kg)	Tangela
113	1. Early Bird2. ScrappyInner Focus (hidden ability)	7′03″ (2.2 m)	115 (Red/Blue/Yellow)205 (Gold/Silver/Crystal)115 (FireRed/LeafGreen)210 (HeartGold/SoulSilver)062 (X/Y — Coastal Kalos)165 (Sun/Moon — Alola dex)199 (U.Sun/U.Moon — Alola dex)	115	Parent Pokémon	Normal	176.4 lbs (80.0 kg)	Kangaskhan
114	1. Swift Swim2. SniperDamp (hidden ability)	1′04″ (0.4 m)	116 (Red/Blue/Yellow)186 (Gold/Silver/Crystal)184 (Ruby/Sapphire/Emerald)116 (FireRed/LeafGreen)190 (HeartGold/SoulSilver)039 (X/Y — Coastal Kalos)193 (Omega Ruby/Alpha Sapphire)	116	Dragon Pokémon	Water	17.6 lbs (8.0 kg)	Horsea
115	1. Poison Point2. SniperDamp (hidden ability)	3′11″ (1.2 m)	117 (Red/Blue/Yellow)187 (Gold/Silver/Crystal)185 (Ruby/Sapphire/Emerald)117 (FireRed/LeafGreen)191 (HeartGold/SoulSilver)040 (X/Y — Coastal Kalos)194 (Omega Ruby/Alpha Sapphire)	117	Dragon Pokémon	Water	55.1 lbs (25.0 kg)	Seadra
116	1. Swift Swim2. Water VeilLightning Rod (hidden ability)	2′00″ (0.6 m)	118 (Red/Blue/Yellow)078 (Gold/Silver/Crystal)050 (Ruby/Sapphire/Emerald)118 (FireRed/LeafGreen)078 (Diamond/Pearl)078 (Platinum)078 (HeartGold/SoulSilver)053 (X/Y — Central Kalos)051 (Omega Ruby/Alpha Sapphire)153 (Sun/Moon — Alola dex)186 (U.Sun/U.Moon — Alola dex)	118	Goldfish Pokémon	Water	33.1 lbs (15.0 kg)	Goldeen
117	1. Swift Swim2. Water VeilLightning Rod (hidden ability)	4′03″ (1.3 m)	119 (Red/Blue/Yellow)079 (Gold/Silver/Crystal)051 (Ruby/Sapphire/Emerald)119 (FireRed/LeafGreen)079 (Diamond/Pearl)079 (Platinum)079 (HeartGold/SoulSilver)054 (X/Y — Central Kalos)052 (Omega Ruby/Alpha Sapphire)154 (Sun/Moon — Alola dex)187 (U.Sun/U.Moon — Alola dex)	119	Goldfish Pokémon	Water	86.0 lbs (39.0 kg)	Seaking
118	1. Illuminate2. Natural CureAnalytic (hidden ability)	2′07″ (0.8 m)	120 (Red/Blue/Yellow)167 (Gold/Silver/Crystal)143 (Ruby/Sapphire/Emerald)120 (FireRed/LeafGreen)169 (HeartGold/SoulSilver)238 (Black 2/White 2)034 (X/Y — Coastal Kalos)148 (Omega Ruby/Alpha Sapphire)184 (Sun/Moon — Alola dex)223 (U.Sun/U.Moon — Alola dex)	120	Star Shape Pokémon	Water	76.1 lbs (34.5 kg)	Staryu
119	1. Illuminate2. Natural CureAnalytic (hidden ability)	3′07″ (1.1 m)	121 (Red/Blue/Yellow)168 (Gold/Silver/Crystal)144 (Ruby/Sapphire/Emerald)121 (FireRed/LeafGreen)170 (HeartGold/SoulSilver)239 (Black 2/White 2)035 (X/Y — Coastal Kalos)149 (Omega Ruby/Alpha Sapphire)185 (Sun/Moon — Alola dex)224 (U.Sun/U.Moon — Alola dex)	121	Mysterious Pokémon	Water Psychic	176.4 lbs (80.0 kg)	Starmie
120	1. Soundproof2. FilterTechnician (hidden ability)	4′03″ (1.3 m)	122 (Red/Blue/Yellow)156 (Gold/Silver/Crystal)122 (FireRed/LeafGreen)095 (Diamond/Pearl)095 (Platinum)158 (HeartGold/SoulSilver)114 (X/Y — Coastal Kalos)060 (U.Sun/U.Moon — Alola dex)	122	Barrier Pokémon	Psychic Fairy	120.1 lbs (54.5 kg)	Mr. Mime
121	1. Swarm2. TechnicianSteadfast (hidden ability)	4′11″ (1.5 m)	123 (Red/Blue/Yellow)110 (Gold/Silver/Crystal)123 (FireRed/LeafGreen)195 (Platinum)111 (HeartGold/SoulSilver)136 (X/Y — Mountain Kalos)275 (Sun/Moon — Alola dex)365 (U.Sun/U.Moon — Alola dex)	123	Mantis Pokémon	Bug Flying	123.5 lbs (56.0 kg)	Scyther
122	1. Oblivious2. ForewarnDry Skin (hidden ability)	4′07″ (1.4 m)	124 (Red/Blue/Yellow)153 (Gold/Silver/Crystal)124 (FireRed/LeafGreen)155 (HeartGold/SoulSilver)084 (X/Y — Mountain Kalos)110 (U.Sun/U.Moon — Alola dex)	124	Human Shape Pokémon	Ice Psychic	89.5 lbs (40.6 kg)	Jynx
123	1. StaticVital Spirit (hidden ability)	3′07″ (1.1 m)	125 (Red/Blue/Yellow)155 (Gold/Silver/Crystal)125 (FireRed/LeafGreen)198 (Platinum)157 (HeartGold/SoulSilver)057 (Black 2/White 2)227 (Sun/Moon — Alola dex)296 (U.Sun/U.Moon — Alola dex)	125	Electric Pokémon	Electric	66.1 lbs (30.0 kg)	Electabuzz
124	1. Flame BodyVital Spirit (hidden ability)	4′03″ (1.3 m)	126 (Red/Blue/Yellow)151 (Gold/Silver/Crystal)126 (FireRed/LeafGreen)201 (Platinum)153 (HeartGold/SoulSilver)054 (Black 2/White 2)167 (Sun/Moon — Alola dex)201 (U.Sun/U.Moon — Alola dex)	126	Spitfire Pokémon	Fire	98.1 lbs (44.5 kg)	Magmar
125	1. Hyper Cutter2. Mold BreakerMoxie (hidden ability)	4′11″ (1.5 m)	127 (Red/Blue/Yellow)112 (Gold/Silver/Crystal)167 (Ruby/Sapphire/Emerald)127 (FireRed/LeafGreen)113 (HeartGold/SoulSilver)146 (Black 2/White 2)130 (X/Y — Coastal Kalos)174 (Omega Ruby/Alpha Sapphire)175 (Sun/Moon — Alola dex)211 (U.Sun/U.Moon — Alola dex)	127	Stag Beetle Pokémon	Bug	121.3 lbs (55.0 kg)	Pinsir
126	1. Intimidate2. Anger PointSheer Force (hidden ability)	4′07″ (1.4 m)	128 (Red/Blue/Yellow)148 (Gold/Silver/Crystal)128 (FireRed/LeafGreen)150 (HeartGold/SoulSilver)125 (X/Y — Coastal Kalos)137 (Sun/Moon — Alola dex)170 (U.Sun/U.Moon — Alola dex)	128	Wild Bull Pokémon	Normal	194.9 lbs (88.4 kg)	Tauros
127	1. Swift SwimRattled (hidden ability)	2′11″ (0.9 m)	129 (Red/Blue/Yellow)076 (Gold/Silver/Crystal)052 (Ruby/Sapphire/Emerald)129 (FireRed/LeafGreen)023 (Diamond/Pearl)023 (Platinum)076 (HeartGold/SoulSilver)049 (X/Y — Central Kalos)053 (Omega Ruby/Alpha Sapphire)091 (Sun/Moon — Alola dex)111 (U.Sun/U.Moon — Alola dex)	129	Fish Pokémon	Water	22.0 lbs (10.0 kg)	Magikarp
128	1. IntimidateMoxie (hidden ability)	21′04″ (6.5 m)	130 (Red/Blue/Yellow)077 (Gold/Silver/Crystal)053 (Ruby/Sapphire/Emerald)130 (FireRed/LeafGreen)024 (Diamond/Pearl)024 (Platinum)077 (HeartGold/SoulSilver)050 (X/Y — Central Kalos)054 (Omega Ruby/Alpha Sapphire)092 (Sun/Moon — Alola dex)112 (U.Sun/U.Moon — Alola dex)	130	Atrocious Pokémon	Water Flying	518.1 lbs (235.0 kg)	Gyarados
129	1. Water Absorb2. Shell ArmorHydration (hidden ability)	8′02″ (2.5 m)	131 (Red/Blue/Yellow)219 (Gold/Silver/Crystal)131 (FireRed/LeafGreen)224 (HeartGold/SoulSilver)242 (Black 2/White 2)150 (X/Y — Coastal Kalos)268 (Sun/Moon — Alola dex)353 (U.Sun/U.Moon — Alola dex)	131	Transport Pokémon	Water Ice	485.0 lbs (220.0 kg)	Lapras
130	1. LimberImposter (hidden ability)	1′00″ (0.3 m)	132 (Red/Blue/Yellow)092 (Gold/Silver/Crystal)132 (FireRed/LeafGreen)092 (HeartGold/SoulSilver)261 (Black 2/White 2)138 (X/Y — Mountain Kalos)209 (Sun/Moon — Alola dex)271 (U.Sun/U.Moon — Alola dex)	132	Transform Pokémon	Normal	8.8 lbs (4.0 kg)	Ditto
131	1. Run Away2. AdaptabilityAnticipation (hidden ability)	1′00″ (0.3 m)	133 (Red/Blue/Yellow)180 (Gold/Silver/Crystal)133 (FireRed/LeafGreen)163 (Platinum)184 (HeartGold/SoulSilver)091 (Black 2/White 2)077 (X/Y — Coastal Kalos)123 (Sun/Moon — Alola dex)153 (U.Sun/U.Moon — Alola dex)	133	Evolution Pokémon	Normal	14.3 lbs (6.5 kg)	Eevee
132	1. Water AbsorbHydration (hidden ability)	3′03″ (1.0 m)	134 (Red/Blue/Yellow)181 (Gold/Silver/Crystal)134 (FireRed/LeafGreen)164 (Platinum)185 (HeartGold/SoulSilver)092 (Black 2/White 2)078 (X/Y — Coastal Kalos)124 (Sun/Moon — Alola dex)154 (U.Sun/U.Moon — Alola dex)	134	Bubble Jet Pokémon	Water	63.9 lbs (29.0 kg)	Vaporeon
133	1. Volt AbsorbQuick Feet (hidden ability)	2′07″ (0.8 m)	135 (Red/Blue/Yellow)182 (Gold/Silver/Crystal)135 (FireRed/LeafGreen)165 (Platinum)186 (HeartGold/SoulSilver)093 (Black 2/White 2)079 (X/Y — Coastal Kalos)125 (Sun/Moon — Alola dex)155 (U.Sun/U.Moon — Alola dex)	135	Lightning Pokémon	Electric	54.0 lbs (24.5 kg)	Jolteon
134	1. Flash FireGuts (hidden ability)	2′11″ (0.9 m)	136 (Red/Blue/Yellow)183 (Gold/Silver/Crystal)136 (FireRed/LeafGreen)166 (Platinum)187 (HeartGold/SoulSilver)094 (Black 2/White 2)080 (X/Y — Coastal Kalos)126 (Sun/Moon — Alola dex)156 (U.Sun/U.Moon — Alola dex)	136	Flame Pokémon	Fire	55.1 lbs (25.0 kg)	Flareon
135	1. Trace2. DownloadAnalytic (hidden ability)	2′07″ (0.8 m)	137 (Red/Blue/Yellow)215 (Gold/Silver/Crystal)137 (FireRed/LeafGreen)192 (Platinum)220 (HeartGold/SoulSilver)217 (Sun/Moon — Alola dex)281 (U.Sun/U.Moon — Alola dex)	137	Virtual Pokémon	Normal	80.5 lbs (36.5 kg)	Porygon
136	1. Swift Swim2. Shell ArmorWeak Armor (hidden ability)	1′04″ (0.4 m)	138 (Red/Blue/Yellow)220 (Gold/Silver/Crystal)138 (FireRed/LeafGreen)225 (HeartGold/SoulSilver)227 (U.Sun/U.Moon — Alola dex)	138	Spiral Pokémon	Rock Water	16.5 lbs (7.5 kg)	Omanyte
137	1. Swift Swim2. Shell ArmorWeak Armor (hidden ability)	3′03″ (1.0 m)	139 (Red/Blue/Yellow)221 (Gold/Silver/Crystal)139 (FireRed/LeafGreen)226 (HeartGold/SoulSilver)228 (U.Sun/U.Moon — Alola dex)	139	Spiral Pokémon	Rock Water	77.2 lbs (35.0 kg)	Omastar
138	1. Swift Swim2. Battle ArmorWeak Armor (hidden ability)	1′08″ (0.5 m)	140 (Red/Blue/Yellow)222 (Gold/Silver/Crystal)140 (FireRed/LeafGreen)227 (HeartGold/SoulSilver)229 (U.Sun/U.Moon — Alola dex)	140	Shellfish Pokémon	Rock Water	25.4 lbs (11.5 kg)	Kabuto
